"","name","Nationality","treated","margin","pre_post"
"397","HEWLETT-PACKARD GALWAY LIMITED","ES",0,0.435,0
"398","HEWLETT-PACKARD GALWAY LIMITED","ES",0,-5.765,1
"399","SAN ELECTRONIC MATERIAL COMPANY","ES",0,6.291,0
"400","SAN ELECTRONIC MATERIAL COMPANY","ES",0,7.677,1
"401","BAHVEST RESOURCES BERHAD","ES",0,-25.12,0
"402","BAHVEST RESOURCES BERHAD","ES",0,NA,1
"403","AVCARB, LLC","ES",0,NA,0
"404","AVCARB, LLC","ES",0,NA,1
"405","ORSI GROUP S.R.L.","ES",0,8.516,0
"406","ORSI GROUP S.R.L.","ES",0,4.39,1
"407","EAT HAPPY S.R.O.","ES",0,NA,0
"408","EAT HAPPY S.R.O.","ES",0,2.084,1
"409","FRUTAS HERMANOS RUIZ GOMEZ SL","ES",0,1.134,0
"410","FRUTAS HERMANOS RUIZ GOMEZ SL","ES",0,1.019,1
"411","LIMITED LIABILITY COMPANY ASU PRO","ES",0,11.376,0
"412","LIMITED LIABILITY COMPANY ASU PRO","ES",0,1.094,1
"413","ARTEFAKT SP. Z O.O. SP.K.","ES",0,25.739,0
"414","ARTEFAKT SP. Z O.O. SP.K.","ES",0,20.915,1
"415","ESTAMPACIONES EBRO SL","ES",0,1.854,0
"416","ESTAMPACIONES EBRO SL","ES",0,4.98,1
"417","NEXTEAM GROUP ROMANIA S.R.L.","ES",0,21.862,0
"418","NEXTEAM GROUP ROMANIA S.R.L.","ES",0,5.249,1
"419","COS.M.I. S.R.L.","ES",0,5.479,0
